Segundo,Bytes_Por_Segundo
40.329881744,1444
40.329942768,1444
40.330013434,1444
40.330071065,1444
40.330144817,1444
40.330201524,1444
40.330276549,1444
40.330336456,1444
40.330408605,1444
40.330468923,1444
40.330540446,1444
40.33059522,1444
40.33068004,1444
40.330742642,1444
40.330803786,1444
40.33086132,1444
40.330936728,1444
40.331000263,1444
40.331067683,1444
40.331126825,1444
40.331200555,1444
40.331255395,1444
40.331330664,1444
40.331389615,1444
40.331463702,1444
40.331523122,1444
40.331595702,1444
40.331652304,1444
40.331725679,1444
40.33178803,1444
40.331866522,1444
40.331919338,1444
40.33198976,1444
40.332064052,1444
40.332135694,1444
40.332190438,1444
40.33225471,1444
40.332314574,1444
40.33238474,1444
40.332443758,1444
40.332517649,1444
40.332572951,1444
40.332648757,1444
40.332708753,1444
40.332780662,1444
40.332878597,1444
40.332932622,1444
40.332990782,1444
40.333043623,1444
40.333106628,1444
40.333175637,1444
40.333246507,1444
40.333322582,1444
40.333380824,1444
40.333438834,1444
40.333513669,1444
40.333571518,1444
40.333627911,1444
40.333703621,1444
40.333761912,1444
40.333834496,1444
40.333913982,1444
40.33396654,1444
40.334024875,1444
40.334099471,1444
40.334158709,1444
40.33422975,1444
40.334289091,1444
40.334361428,1444
40.33441723,1444
40.334493827,1444
40.334552467,1444
40.334624706,1444
40.334683476,1444
40.334756404,1444
40.334813731,1444
40.334894776,1444
40.334985244,1444
40.335039695,1444
40.335098246,1444
40.335152541,1444
40.33521298,1444
40.33528476,1444
40.335346091,1444
40.335415766,1444
40.335471282,1444
40.335548717,1444
40.335608466,1444
40.335680527,1444
40.335740927,1444
40.33581063,1444
40.335865205,1444
40.335967036,1444
40.336046312,1444
40.336086454,1444
40.336142419,1444
40.336205668,1444
40.336261087,1444
40.336357387,1444
40.336411342,1444
40.336468499,1444
